INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID1', '익명작성자1', '익명타이틀1', '익명게시판본문1', 11, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID2', '익명작성자2', '익명타이틀2', '익명게시판본문2', 22, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID3', '익명작성자3', '익명타이틀3', '익명게시판본문3', 33, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID4', '익명작성자4', '익명타이틀4', '익명게시판본문4', 44, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID5', '익명작성자5', '익명타이틀5', '익명게시판본문5', 55, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID6', '익명작성자6', '익명타이틀6', '익명게시판본문6', 66, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID7', '익명작성자7', '익명타이틀7', '익명게시판본문7', 77, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID8', '익명작성자8', '익명타이틀8', '익명게시판본문8', 88, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID9', '익명작성자9', '익명타이틀9', '익명게시판본문9', 99, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID10', '익명작성자10', '익명타이틀10', '익명게시판본문10', 1010, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID11', '익명작성자11', '익명타이틀11', '익명게시판본문11', 1111, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID12', '익명작성자12', '익명타이틀12', '익명게시판본문12', 1212, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID13', '익명작성자13', '익명타이틀13', '익명게시판본문13', 1313, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID14', '익명작성자14', '익명타이틀14', '익명게시판본문14', 1414, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID15', '익명작성자15', '익명타이틀15', '익명게시판본문15', 1515, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID16', '익명작성자16', '익명타이틀16', '익명게시판본문16', 1616, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID17', '익명작성자17', '익명타이틀17', '익명게시판본문17', 1717, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID18', '익명작성자18', '익명타이틀18', '익명게시판본문18', 1818, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID19', '익명작성자19', '익명타이틀19', '익명게시판본문19', 1919, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID20', '익명작성자20', '익명타이틀20', '익명게시판본문20', 2020, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID21', '익명작성자21', '익명타이틀21', '익명게시판본문21', 2121, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID22', '익명작성자22', '익명타이틀22', '익명게시판본문22', 2222, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID23', '익명작성자23', '익명타이틀23', '익명게시판본문23', 2323, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID24', '익명작성자24', '익명타이틀24', '익명게시판본문24', 2424, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID25', '익명작성자25', '익명타이틀25', '익명게시판본문25', 2525, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID26', '익명작성자26', '익명타이틀26', '익명게시판본문26', 2626, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID27', '익명작성자27', '익명타이틀27', '익명게시판본문27', 2727, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID28', '익명작성자28', '익명타이틀28', '익명게시판본문28', 2828, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID29', '익명작성자29', '익명타이틀29', '익명게시판본문29', 2929, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID30', '익명작성자30', '익명타이틀30', '익명게시판본문30', 3030, 'A');
